comparison	cond1	cond2
A549_vs_HCT116	A549	HCT116
A549_vs_HepG2	A549	HepG2
A549_vs_K562	A549	K562
A549_vs_MCF-7	A549	MCF-7
A549_vs_PC-3	A549	PC-3
A549_vs_Panc1	A549	Panc1
HCT116_vs_HepG2	HCT116	HepG2
HCT116_vs_K562	HCT116	K562
HCT116_vs_MCF-7	HCT116	MCF-7
HCT116_vs_PC-3	HCT116	PC-3
HCT116_vs_Panc1	HCT116	Panc1
HepG2_vs_K562	HepG2	K562
HepG2_vs_MCF-7	HepG2	MCF-7
HepG2_vs_PC-3	HepG2	PC-3
HepG2_vs_Panc1	HepG2	Panc1
K562_vs_MCF-7	K562	MCF-7
K562_vs_PC-3	K562	PC-3
K562_vs_Panc1	K562	Panc1
MCF-7_vs_PC-3	MCF-7	PC-3
MCF-7_vs_Panc1	MCF-7	Panc1
PC-3_vs_Panc1	PC-3	Panc1
